imdb_name,Genres,Tags,Episodes,start airing,end airing,Aired On,Original Network,Duration,score,scored by,Ranked,Popularity,Content Rating,Watchers,actors,platforms,imdb_rating,imdb_user_count,imdb_description
The Killer's Shopping List,"['thriller', 'mystery', 'comedy']","['smart male lead', 'investigation', 'suspense', 'detective', 'serial killer supporting character', 'police officer female lead', 'miniseries', 'death', 'child abuse', 'murder ']",8,27-Apr-22,19-May-22,"['wednesday', 'thursday']",['tvN'],65,8.1,2098,1290,1605,15+ - Teens 15 or older,"6,244","['Lee Kwang Soo', 'Kim Seol Hyun', 'Jin Hee Kyung', 'Shin Sung Woo', 'Lee Kyo Yeob', 'Park Ji Bin']","['TVING', 'Viki']",s 7,140,"One day, a dead body is found at an apartment near the supermarket. Finding this murder odd, Dae-sung, his mother, and his girlfriend Ah-hee gather around to find the real murderer, starting by looking through the receipts of the market."
The Princess' Man,"['action', 'historical', 'romance', 'political']","['forbidden love', 'strong male lead', 'power struggle', 'strong female lead', 'family pressure', 'joseon dynasty', 'revenge', 'death', 'father-daughter relationship', 'princess female lead ']",24,20-Jul-11,6-Oct-11,"['wednesday', 'thursday']",['KBS2'],65,8.5,8081,358,476,15+ - Teens 15 or older,"19,609","['Park Shi Hoo', 'Moon Chae Won', 'Kim Yeong Cheol', 'Song Jong Ho', 'Hong Soo Hyun', 'Lee Min Woo']",['Viki'],8.2,561,"Featuring breathtaking cinematography and gorgeous locations, The Princess's Man is a lush historical romance that captivated audiences in 2011."
Ms. Hammurabi,"['law', 'romance', 'life', 'drama']","['sassy female lead', 'social commentary', 'social problems', 'strong female lead', 'smart male lead', 'slow burn romance', 'first love', 'slow romance', 'bromance', 'slow burn story ']",16,21-May-18,16-Jul-18,"['monday', 'tuesday']",['jTBC'],80,8.1,10035,1137,280,15+ - Teens 15 or older,"28,979","['Go Ah Ra', 'Kim Myung Soo', 'Sung Dong Il', 'Ryu Deok Hwan', 'Lee Elijah', 'Lee Tae Sung']","['WeTV', 'Viki']",7.5,582,The series tells the story of the life of judges and the various disputes that they have to settle.
Temperature of Love,"['food', 'comedy', 'romance', 'life']","['love triangle', 'older woman/younger man', 'bromance', 'second chance romance', 'calm male lead', 'cooking', 'unrequited love', 'screenwriter female lead', 'chef male lead', 'age gap [real life] ']",40,18-Sep-17,21-Nov-17,"['monday', 'tuesday']",['SBS'],30,7.6,7816,3741,391,15+ - Teens 15 or older,"22,578","['Seo Hyun Jin', 'Yang Se Jong', 'Kim Jae Wook', 'Jo Bo Ah', 'P.O', 'Ji  Il Joo']","['Apple TV', 'SBS World', 'Viki', 'Netflix']",s 7,553,"About the love between a writer who is elder than the person she loves, the chef."
High School King of Savvy,"['comedy', 'romance', 'school', 'sports']","['older woman/younger man', 'double identity', 'eccentric female lead', 'male chases female first', 'nice male lead', 'steamy kiss', 'high school', 'hidden identity', 'ice hockey', 'adult-minor relationship ']",17,16-Jun-14,11-Aug-14,"['monday', 'tuesday']",['tvN'],65,7.7,9888,2689,373,13+ - Teens 13 or older,"23,450","['Seo In Guk', 'Lee  Ha Na ', 'Lee Soo Hyuk', 'Lee Yeol Eum', 'Lee Tae Hwan', 'Shin Hye Sun']","['Apple TV', 'Viki']",7.1,373,"Can a high school boy lead a double life? Lee Min Seok (Seo In Guk) is a rising hockey player at his high school leading an average high school life, complete with a groupie classmate, Jung Yoo Ah (Lee Yeol Eum), who has a crush on him."
Touch,"['business', 'comedy', 'romance', 'drama']","['beauty and makeup', 'strong female lead', 'boss-employee relationship', 'second chance', 'idol trainee', 'domestic abuse', 'ex-girlfriend comes back', 'slow burn romance', 'first love', 'workplace abuse ']",16,3-Jan-20,22-Feb-20,"['friday', 'saturday']","['Channel A', 'Viki']",63,7.4,2180,4724,1571,15+ - Teens 15 or older,"6,368","['Joo Sang Wook', 'Kim Bo Ra', 'Lee Tae Hwan', 'Yoon Hee Seok', 'Song  Jae Hee', 'Byun Jung Soo']",['Viki'],s 7,78,"Cha Jung Hyeok was a popular make-up artist, who pursued perfection, but he is now in debt and unemployed. Han Soo Yeon has been a trainee to become an idol for 10 years. She takes part in an audition program to become an idol. A mysterious case causes Han Soo Yeon to get booted from the program. She then finds her new aptitude, which is a make-up artist. By chance, Han Soo Yeon meets Cha Jung Hyeok who is back as a make-up artist. She begins working as his assistant and they fall in love with each other. Meanwhile, Baek Ji Yoon is a top actress who has a strong desire for success. Kang Do Jin is a popular actor."
"Bad Thief, Good Thief","['thriller', 'comedy', 'law', 'romance']","['thief', 'policewoman', 'corruption', 'lawyer supporting character', ""brothers' relationship"", 'country manipulation', 'detective', 'family', 'crime', 'suspense ']",50,13-May-17,5-Nov-17,"['saturday', 'sunday']",['MBC'],75,7.6,1135,3529,1933,15+ - Teens 15 or older,"4,965","['Ji Hyun Woo', 'Seo Hyun', 'Kim Ji Hoon', 'Im Ju Eun', 'Ahn Kil Kang', 'Jung Kyung Soon']",['Viki'],8.2,88,The story centers on thieves who strike against people in high power who try to control Korea.
Orange Marmalade,"['historical', 'romance', 'drama', 'supernatural']","['interspecies romance', 'vampire', 'music', 'high school', 'first love', 'adapted from a webtoon', 'love triangle', 'flashback to past', 'male chases female first', 'hidden identity ']",12,15-May-15,24-Jul-15,['friday'],['KBS2'],50,6.8,13797,6020,209,Not Yet Rated,"35,215","['Kim Seol Hyun', 'Yeo Jin Goo', 'Lee  Jong Hyun', 'Gil Eun Hye', 'Song Jong Ho', 'Lee Il Hwa']",['Viki'],6.4,580,Jae-Min is a popular high school student. He falls in love with transfer student Ma-Ri. Ma-Ri though hides her true identity as a vampire.
Perfume,"['comedy', 'romance', 'fantasy']","['phobia', 'transformation', 'modeling', 'eccentric male lead', 'cold man/warm woman', 'clingy male lead', 'double identity', 'mean male lead', 'tragic past', 'poor female lead ']",32,3-Jun-19,23-Jul-19,"['monday', 'tuesday']",['KBS2'],35,7.9,4667,1961,679,15+ - Teens 15 or older,"14,898","['Shin Sung Rok', 'Go Won Hee', 'Ha Jae Sook', 'Cha Ye Ryun', 'Kim Min Gue', 'Kim Jin Kyung']","['Apple TV', 'Viki']",7.2,177,"A suicidal, overweight housewife is sent a magical perfume that makes her look like her 20 year old self, whose dream was to be a model. A phobia ridden, fashion designer hires her as his house servant."
Never twice,"['comedy', 'romance', 'drama', 'family']","['bright female lead', 'multiple couples', 'rich male lead', 'multiple mains', 'camping trip', 'past failure', 'rich family', 'love/hate relationship', 'power struggle', 'hotel setting ']",72,2-Nov-19,7-Mar-20,['saturday'],['MBC'],26,8.1,2025,1320,1377,15+ - Teens 15 or older,"7,385","['Kwak Dong Yeon', 'Park Se Wan', 'Ye Ji Won', 'Youn Yuh Jung', 'Oh Ji Ho', 'Song Won Seok']",['Viki'],8.2,73,"The series follows the story of the long-term guests at Paradise Inn, located in the heart of Seoul. From the first room to the sixth room, all the guests are different in age, gender, and even where they grew up."
When I Was the Most Beautiful,"['romance', 'drama', 'melodrama']","['love triangle', 'older woman/younger man', 'jealousy', 'student-teacher relationship', 'love at first sight', 'naive female lead', 'prince syndrome', 'innocent male lead', 'obsession', 'evil aunt ']",32,19-Aug-20,15-Oct-20,"['wednesday', 'thursday']",['MBC'],35,6.9,1712,5911,1466,15+ - Teens 15 or older,"6,842","['Im Soo Hyang', 'Kim Ji Soo', 'Ha Seok Jin', 'Hwang Seung Eon', 'Park Ji Young', 'Stephanie Lee']",['Viki'],6.9,107,A healing drama emphasizing the end of suffering and the belief that everyone deserves to be happy. It deals with the love of a woman and two brothers.
When the Devil Calls Your Name,"['music', 'comedy', 'drama', 'fantasy']","['eccentric male lead', 'devil', 'hidden identity', 'bromance', 'tragic past', 'trauma', ""housemates' relationship"", ""best friends' relationship"", 'songwriter male lead', 'musician male lead ']",16,31-Jul-19,19-Sep-19,"['wednesday', 'thursday']",['tvN'],75,8,3090,1450,853,15+ - Teens 15 or older,"12,181","['Jung Kyung Ho', 'Park Sung Woong', 'Lee Seol', 'Lee El', 'Kim Hyung Mook', 'Kim Won Hae']","['K-DRAMA', 'Viki']",7.5,184,"The series is about a man who sold his soul to a devil ten years ago to obtain fortune and fame. As his contract is soon to expire, he tries to make a deal with the devil using his life as collateral."
"Marriage, Not Dating","['comedy', 'romance', 'drama']","['contract relationship', 'bickering couple', 'controlling parent', 'steamy kiss', 'rich man/poor woman', 'cold man/warm woman', 'eccentric female lead', 'love/hate relationship', 'rich male lead', 'love square ']",16,4-Jul-14,23-Aug-14,"['friday', 'saturday']",['tvN'],67,8.1,24024,1086,144,15+ - Teens 15 or older,"44,955","['Yeon Woo Jin', 'Han Groo', 'Jung Jin Woon', 'Han Sun Hwa', 'Heo Jung Min', 'Yoon So Hee']","['Viki', 'WeTV', 'K-DRAMA']",7.5,"1,069","Before Joo Jang Mi can propose to her boyfriend, he has his best friend, Gong Gi Tae, help him break up with her. Meanwhile, Gi Tae is eager to remain single, but as his family insists he marries, he proposes a fake engagement to Jang Min."
Miss Korea,"['comedy', 'romance', 'life', 'drama']","['cosmetic company', 'beauty pageant', '1990s', 'competition', 'desperate male lead', 'beauty salon owner', 'debt collector', 'imf crisis', 'betrayal', 'male chases female first ']",20,18-Dec-13,26-Feb-14,"['wednesday', 'thursday']",['MBC'],60,7.4,2772,4741,1319,15+ - Teens 15 or older,"7,725","['Lee Sun Kyun', 'Lee Yun Hee', 'Lee Mi Sook', 'Song Sun Mi', 'Lee Sung Min', 'Go Sung Hee']",['Viki'],7.1,119,"Kim Hyung Joon, owner of a small cosmetics company and riddled with debts, decides to sponsor a contestant for 'Miss Korea' hoping that will help promote their products, and so he turns to Oh Ji Young the girl he broke up 10 years before."
Radio Romance,"['business', 'comedy', 'romance']","['possessive male lead', 'male chases female first', 'famous lead/common lead', 'selfish mother', 'weak female lead', 'mother-daughter relationship', 'first love', 'cold man/warm woman', 'love triangle', 'obsessive male lead ']",16,29-Jan-18,20-Mar-18,"['monday', 'tuesday']",['KBS2'],70,7.6,14758,3554,194,15+ - Teens 15 or older,"36,739","['Kim So Hyun', 'Yoon Doo Joon', 'Yoon Park', 'Yura', 'Lee Re', 'Kwak Dong Yeon']",['Viki'],6.7,924,About an actor who's showcase family is famous and a radio writer who fell in love with radio after her mother became blind when she was a teen. She gets the actor to become her DJ not knowing their shared history as teens. He had trouble sleeping but she's just the thing he needs. She had trouble writing but learns to find her voice.
The Package,"['adventure', 'comedy', 'romance', 'life']","['tour guide', 'filmed abroad', 'multiple couples', 'steamy kiss', 'terminal illness', 'secret relationship', 'vacation', 'misunderstanding', 'nice male lead', 'tourism ']",12,13-Oct-17,18-Nov-17,"['friday', 'saturday']",['jTBC'],60,8.1,5650,1198,664,15+ - Teens 15 or older,"15,187","['Jung Yong Hwa', 'Lee Yun Hee', 'Yoon Park', 'Choi  Woo Shik', 'Ha Shi Eun', 'Lee Ji Hyun']","['Disney+ Hotstar', 'WeTV', 'Netflix', 'Viki']",7.4,360,"Yoon So-So (Lee Yeon-Hee) works as a travel guide in France. She leads a group of tourists on a package tour. The travelers all have their own stories. San Ma-Roo (Jung Yong-Hwa) joined the tour after being dumped by his girlfriend. Kim Gyung-Jae (Choi Woo-Sik) has been dating for the past 10 years. A mysterious man (Yoon Park) seems to follow Yoon So-So. Jung Yeon-Sung (Ryu Seung-Soo) joined the package tour with a partner, but he will not reveal what kind of relationship they are in. Han So-Ran (Ha Shi-Eun) is a web designer and agonizes over staying single or marriage. Oh Gab-Soo (Jeong Gyu-Su) is extremely stubborn. Han Book-Ja (Lee Ji-Hyeon) spent most of her life taking care of her husband. Na Hyun (Park Yoo-Na) is a woman whom other people cannot guess her age. They all do not want to become involved in each other's personal lives, but, while they travel together, they become closer and develop relationships.

—Julianne Alice"
Duel,"['thriller', 'mystery', 'sci-fi']","['amnesia', 'human experimentation', 'kidnapping', 'tragic past', 'father-daughter relationship', 'bromance', 'investigation', 'suspense', 'revenge', 'murder ']",16,3-Jun-17,23-Jul-17,"['saturday', 'sunday']",['OCN'],60,8.4,4190,429,734,Not Yet Rated,"13,953","['Jung Jae Young', 'Kim Jung Eun', 'Yang Se Jong', 'Seo Eun Soo', 'Kim Ki Doo', 'Yoon Gyung Ho']",[],7.7,233,"Story about Jang Deuk Cheon (Jung Jae-young), a hardened detective whose daughter is kidnapped. He starts to chase down the suspect using the one clue he has: Two men with the same face were at the crime scene."
Untouchable,"['action', 'thriller', 'mystery', 'business']","['investigation', 'suspense', 'law', ""brothers' relationship"", 'wealth obsession', 'apparent death', 'congressman', 'wrongfully accused', 'rich family', 'slight romance ']",16,24-Nov-17,20-Jan-18,"['friday', 'saturday']",['jTBC'],60,7.4,799,4512,2692,15+ - Teens 15 or older,"3,404","['Kim Sung Kyun', 'Jin Goo', 'Go Joon Hee', 'Jung Eun Ji', 'Bae Yoo Ram', 'Choi Jong Won']",['Disney+ Hotstar'],7.4,65,"The city of Bukcheon has been dominated by the Jang family for 3 generations. Jang Joon-Seo (Jin Goo) is the second son of family leader Jang Beom-Ho. A woman who Jang Joon-Seo loves dies. After that, he tries to reveal the truth about her death and a secret from his family."
Rosy Lovers,"['romance', 'family']","['single father', 'cold female lead', 'naive female lead', 'multiple couples', 'melodrama ']",52,18-Oct-14,12-Apr-15,"['saturday', 'sunday']",['MBC'],64,7.3,777,5080,3154,15+ - Teens 15 or older,"2,735","['Lee Jang Woo', 'Han Sun Hwa', 'Park Sang Won', 'Han Ji Sang', 'Kim Min Seo', 'Choi Phillip']",[],7.8,41,"Love begins with pure feelings and intentions among young people, but then at some point, they have to take the next step in the relationship that entails commitment and a bigger responsibility. This is a story about a young man who gets back on his feet after being dealt with an unexpected blow. Along the way, he finds the answer to his problems and searches for happiness. A young dad who is still in college has to grow up fast to take care of his family but he brings hopes to others with the way he overcomes the many obstacles that lay in his path.

—MBC"
Oh My Ladylord,"['comedy', 'romance', 'fantasy', 'melodrama']","['cohabitation', ""roommates' relationship"", 'screenwriter male lead', 'actress female lead', 'doctor supporting character', 'family conflict', 'mental illness', 'heir', 'tearjerker', 'obsessive-compulsive disorder ']",16,24-Mar-21,13-May-21,"['wednesday', 'thursday']","['iQiyi', 'MBC']",80,6.7,3144,6106,949,15+ - Teens 15 or older,"10,716","['Lee Min Ki', 'Nana', 'Kang Min Hyuk', 'Kim Ho Jung', 'Lee Hwi Hyang', 'Sun Woo Jae Duk']",[],5.9,215,"A romantic comedy about a thriller dramas screenwriter and an actress that specializes in romantic comedy. While the writer chooses not to date, the actress cannot seem to date."
High Class,"['thriller', 'mystery', 'drama']","['rich female lead', 'lying', 'murder', 'death', 'high class society', 'secret', 'female rivalry', 'deception', 'multiple mains', 'suspense ']",16,6-Sep-21,1-Nov-21,"['monday', 'tuesday']",['tvN'],70,7.7,1205,3050,2233,15+ - Teens 15 or older,"4,233","['Cho Yeo Jung', 'Kim Jee Soo', 'Park Se Jin', 'Ha Joon', 'Gong Hyun Joo', 'Lee Ka Eun']","['TVING', 'WeTV']",6.9,127,A mystery suspense drama about the dangerous lies and hypocrisies hidden behind the perfect lives of the women who live in the top 0.1 percent of society.
Two Cops,"['mystery', 'comedy', 'romance', 'supernatural']","['bromance', 'love triangle', 'ghost', 'swindler male lead', 'smart male lead', 'tragic past', 'body swap', 'investigation', 'detective male lead', 'ghost male lead ']",32,27-Nov-17,16-Jan-18,"['monday', 'tuesday']",['MBC'],35,7.9,5054,2032,778,15+ - Teens 15 or older,"13,350","['Jo Jung Suk', 'Lee Hye Ri', 'Kim Seon Ho', 'Im Se Mi', 'Hoya', 'Lee Si Eon']","['Viki', 'Apple TV']",7.1,426,Cha Dong-Tak is a detective in pursuit of justice. A swindler's spirit takes possession of his body. The detective and swindler's spirit cooperate to solve cases. The detective falls in love with a reporter.
Wok of Love,"['food', 'comedy', 'romance', 'drama']","['cooking', 'eccentric female lead', 'boss-employee relationship', 'love triangle', 'cold man/warm woman', 'hardworking male lead', 'older woman/younger man', 'bromance', 'clingy female lead', 'orphan male lead ']",38,7-May-18,17-Jul-18,"['monday', 'tuesday']",['SBS'],35,8,10813,1472,345,15+ - Teens 15 or older,"24,910","['Lee Jun Ho', 'Jang Hyuk', 'Jung Ryeo Won', 'Lee Mi Sook', 'Park Ji Young', 'Jo Jae Yoon']","['Apple TV', 'Viki']",7.5,943,"Set at a small Chinese restaurant, ""Wok of Love"" follows Seo Poong's attempt at survival, food and love."
Warm and Cozy,"['food', 'comedy', 'romance']","['misunderstanding', 'rich man/poor woman', 'love square', 'first love', ""roommates' relationship"", 'chef male lead', 'innocent female lead', 'childish male lead', 'naive male lead', 'steamy kiss ']",16,13-May-15,2-Jul-15,"['wednesday', 'thursday']",['MBC'],60,7.5,8546,4070,530,15+ - Teens 15 or older,"18,347","['Kang So Ra', 'Yoo Yeon Seok', 'Kim Sung Oh', 'Seo Yi Ahn', 'Jung Jin Young', 'Lee  Han Wi']","['Viki', 'Netflix']",6.8,415,A romantic drama of a man and a woman of opposite personalities and different aims gradually fall in love with each other.
My Only One,"['comedy', 'romance', 'drama', 'family']","['female chases male first', 'poor female lead', 'ex-spouse relationship', 'adopted female lead', 'workplace romance', 'secondary couple', 'grandma-grandson relationship', 'forced break-up', 'benevolent father', 'evil daughter-in-law ']",106,15-Sep-18,17-Mar-19,"['saturday', 'sunday']",['KBS2'],35,7.6,1014,3537,2686,15+ - Teens 15 or older,"3,409","['Choi Soo Jong', 'Uee', 'Lee Jang Woo', 'Yoon Jin Yi', 'Jung Eun Woo', 'Na Hye Mi']","['Viki', 'Netflix', 'KBS World']",7.1,111,"Life turns upside down for a bright young woman when her biological father, carrying a heavy past, appears in front of her after 28 years of absence."
The Man Living in Our House,"['comedy', 'romance', 'life', 'drama']","['strong male lead', 'nice male lead', 'nice female lead', 'secret', 'gang', 'cheating', ""housemates' relationship"", 'restaurant setting', 'flight attendant female lead', 'businessman male lead ']",16,24-Oct-16,13-Dec-16,"['monday', 'tuesday']",['KBS2'],60,7.4,6827,4524,539,15+ - Teens 15 or older,"18,072","['Park Soo Ae', 'Kim Young Kwang', 'Lee Soo Hyuk', 'Jo Bo Ah', 'Kim Ji Hoon', 'Jung Kyung Soon']",['Viki'],6.7,312,"The life of Hong Na Ri, a thirty-year-old flight attendant, is turned upside down when she comes home after her mother's death and finds out that she has a step father who is three years younger than her. This new father is always on her side. He loves her unconditionally. What would happen to them ?

—thecallousshrimp"
The Man Living in Our House,"['comedy', 'romance', 'life', 'drama']","['strong male lead', 'nice male lead', 'nice female lead', 'secret', 'gang', 'cheating', ""housemates' relationship"", 'restaurant setting', 'flight attendant female lead', 'businessman male lead ']",16,24-Oct-16,13-Dec-16,"['monday', 'tuesday']",['KBS2'],60,7.4,6827,4524,539,15+ - Teens 15 or older,"18,072","['Park Soo Ae', 'Kim Young Kwang', 'Lee Soo Hyuk', 'Jo Bo Ah', 'Kim Ji Hoon', 'Jung Kyung Soon']",['Viki'],6.7,312,"The life of Hong Na Ri, a thirty-year-old flight attendant, is turned upside down when she comes home after her mother's death and finds out that she has a step father who is three years younger than her. This new father is always on her side. He loves her unconditionally. What would happen to them ?

—thecallousshrimp"
L.U.C.A.: The Beginning,"['action', 'thriller', 'mystery', 'sci-fi']","['special power', 'detective', 'human experimentation', 'strong male lead', 'hidden past', 'strong female lead', 'hidden identity', 'tragic past', 'amnesia', 'suspense ']",12,1-Feb-21,9-Mar-21,"['monday', 'tuesday']",['tvN'],75,7.3,3793,4746,886,15+ - Teens 15 or older,"11,730","['Kim Rae Won', 'Lee Da Hee', 'Kim Sung Oh', 'Kim  Sang Ho', 'Jung Da Eun', 'Park Hyuk Kwon']","['Viki', 'WeTV', 'TVING']",6.5,434,"""LUCA"" (Last Universal Common Ancestor) is based on Charles Darwin's proposition that all species of life have descended over time from common ancestors."
My Only Love Song,"['historical', 'comedy', 'romance', 'drama']","['time travel', 'goguryeo dynasty', 'fate', 'sassy female lead', 'love/hate relationship', 'soulmates', 'steamy kiss', 'first love', 'princess supporting character', 'historical fiction ']",20," Jun  9, 2017",N/A,N/A,['Netflix'],30,7.8,9292,2293,513,15+ - Teens 15 or older,"18,692","['Gong Seung Yeon', 'Lee  Jong Hyun', 'Jin Ye Ju', 'Ahn Bo Hyun', 'Lee Jae Jin', 'Lee Chul Min']",['Netflix'],s 7,680,"When things don't go her way during a shooting for her new show, a top actress runs away in an old van that guides her on a time-traveling journey."
Hospital Ship,"['romance', 'drama', 'medical']","['older woman/younger man', 'female antagonist', 'hardworking female lead', 'wrongfully accused', 'teamwork', 'smart female lead', 'surgeon', 'smart male lead', 'tearjerker', 'elderly care ']",40,30-Aug-17,2-Nov-17,"['wednesday', 'thursday']",['MBC'],35,7.9,5888,1946,742,15+ - Teens 15 or older,"13,751","['Ha Ji Won', 'Kang Min Hyuk', 'Lee Seo Won', 'Kim Tae I', 'Mina', 'Kim Kwang Gyu']",[],6.8,378,"Hospital ship is a romantic drama series with twists and turns at every episode . It's the story about doctors who work in the hospital ship that provides free health facilities to the various remote islands in Korea. The story revolves around Doctor Kwak Hyun who is currently working in the hospital ship and Surgeon Song Eun Jae that is well known for performing various complicated surgeries. The story have love-triangle, complicated surgeries show, family issue and the last few episodes are awesome.

—Somesh Bhardwaj"
One the Woman,"['mystery', 'comedy', 'romance', 'drama']","['imposter', 'rich male lead', 'investigation', 'amnesia', 'identity swap', 'strong female lead', 'car accident', 'death', 'corruption', 'heir ']",16,17-Sep-21,6-Nov-21,"['friday', 'saturday']",['SBS'],70,8.2,4060,1021,956,15+ - Teens 15 or older,"10,637","['Lee Ha Nee', 'Lee Sang Yoon', 'Lee Won Keun', 'Jin Seo Yun', 'Song Won Seok', 'Jeon Gook Hwan']","['Prime Video', 'Viki']",7.2,379,"Tells the story of a tough and rogue female prosecutor, who one day loses all of her memories and changes places with a conservative housewife who looks just like her."
Tomorrow's Cantabile,"['music', 'comedy', 'romance']","['adapted from a manga', 'cold male lead', 'eccentric female lead', 'naive female lead', 'clingy female lead', 'female chases male first', 'orchestra conductor male lead', 'pianist female lead', 'pianist male lead', 'musician male lead ']",16,13-Oct-14,2-Dec-14,"['monday', 'tuesday']",['KBS2'],60,7.5,5923,3808,781,15+ - Teens 15 or older,"13,326","['Joo Won', 'Shim Eun Kyung', 'Park Bo Gum', 'Bae Min Jung', 'Go Kyung Pyo', 'Min Do Hee']",[],7.1,290,"At Korea's Han Eum Academy of Music, two polar opposites, both exceptionally gifted students afflicted by past traumas, form an outwardly unlikely romantic relationship."
Soul Mechanic,"['comedy', 'romance', 'drama', 'medical']","['nice male lead', 'older man/younger woman', 'eccentric male lead', 'character development', 'psychiatry', 'slow burn romance', 'father-son relationship', 'friendship', 'hardworking male lead', 'dementia ']",32,6-May-20,25-Jun-20,"['wednesday', 'thursday']",['KBS2'],35,7.8,2347,2309,1275,15+ - Teens 15 or older,"8,034","['Shin Ha Kyun', 'Jung So Min', 'Tae In Ho', 'Park Ye Jin', 'Joo Min Kyung', 'Jung Hae Kyun']",['Viki'],7.3,121,"""Soul Mechanic"" follows psychiatrists as they try to cure people of their emotional wounds."
Protect the Boss,"['business', 'comedy', 'romance', 'melodrama']","['boss-employee relationship', 'strong female lead', 'sismance', 'love square', 'phobia', 'eccentric male lead', 'childish male lead', 'ex-girlfriend comes back', 'sassy female lead', 'male chases female first ']",18,3-Aug-11,29-Sep-11,"['wednesday', 'thursday']",['SBS'],65,7.6,15462,3216,251,15+ - Teens 15 or older,"31,125","['Choi Kang Hee', 'Ji Sung', 'Kim Jae Joong', 'Wang Ji Hye', 'Lee Hee Won', 'Park Young Gyu']","['Viki', 'Apple TV']",s 7,667,"After a long stretch of unemployment No Eun Seol lands a job as secretary to Cha Ji Heon the youngest son of a rich family. However her secretary duties go beyond the ordinary, helping her boss cope and function in normal society."
Let Me Be Your Knight,"['music', 'comedy', 'romance', 'drama']","['medical', 'eccentric male lead', 'lying', 'healing', 'sleep disorder', 'sleepwalking', 'cohabitation', 'popular male lead', 'famous lead/common lead', ""housemates' relationship ""]",12,7-Nov-21,24-Jan-22,['sunday'],"['iQiyi', 'SBS']",70,7.9,2902,1776,1083,15+ - Teens 15 or older,"9,445","['Jung In Sun', 'Lee Jun Young', 'Jang Dong Joo', 'Kim Jong Hyun', 'Yoon Ji Sung', 'Kim Dong Hyun']",['Viki'],7.5,166,"The drama will be a story of romance and healing between one of the world's greatest idols who is suffering from somnambulism and the doctor who is secretly treating him. Yoon Tae In is an untouchable idol star who is loved all around the world, and a musical genius who believes he is the center of the universe.

—mydramalist"
Excellent Shaman Ga Doo Shim,"['mystery', 'romance', 'youth', 'supernatural']","['ghost-seeing female lead', 'ghost', 'shamanism', 'strong female lead', 'high school', 'student', 'school', 'ghost-seeing male lead', 'transfer student', 'vengeful ghost ']",12,30-Jul-21,8-Oct-21,['friday'],"['Daum Kakao TV', 'Viki']",20,7.9,6396,1694,654,15+ - Teens 15 or older,"15,334","['Kim Sae Ron', 'Nam  Da Reum ', 'Yoo Sun Ho', 'Moon Sung Geun', 'Yoon Seok Hwa', 'Bae Hae Seon']","['Kakao TV', 'Viki']",7.1,288,A story of a high school girl born with an undesired fate who transfers to a haunted school where a student who came last on the test commits suicide.
Graceful Friends,"['mystery', 'life', 'drama']","['bromance', 'multiple couples', 'murder', 'jealousy', 'multiple mains', 'psychiatrist', 'first love', 'romance', 'friendship', 'emotional infidelity ']",17,10-Jul-20,5-Sep-20,"['friday', 'saturday']",['jTBC'],70,7.5,1113,4108,2408,18+ Restricted (violence & profanity),"3,860","['Yoo  Joon Sang', 'Song Yoon Ah', 'Bae Soo Bin', 'Han Da Gam', 'Kim Sung Oh', 'Kim Hye Eun']","['Disney+ Hotstar', 'Netflix']",6.5,148,"""Elegant Friends"" is a story that takes place in the wake of a murder case against the backdrop of a town largely inhabited by couples in their 40s."
Jang Bo Ri Is Here,"['romance', 'drama', 'melodrama']","[""childhood friends' relationship"", 'soap opera', 'rich kid', 'adoption', 'family secret', 'lost child', 'rich man/poor woman', 'family', 'friendship ']",52,5-Apr-14,12-Oct-14,"['saturday', 'sunday']",['MBC'],65,7.8,1716,2240,2080,15+ - Teens 15 or older,"4,586","['Oh Yeon Seo', 'Kim Ji Hoon', 'Lee Yoo Ri', 'Oh Chang Seok', 'Sung Hyuk', 'Han Seung Yeon']",['Viki'],s 8,76,"""Can a long-lost daughter find happiness when she is reunited with her parents after 20 years?"" In a complicated twist, a young woman from a wealthy family goes missing and is raised by a foster mom instead of her own parents. Meanwhile, her wealthy family adopts a girl to overcome the loss of their daughter. The tensions that arise when the daughter finds her real family results in a journey of understanding and forgiveness.

—mbc"
Ugly Alert,"['business', 'romance', 'family', 'melodrama']","['rich woman/poor man', 'nice male lead', 'strong female lead', 'female chases male first', 'bromance', 'unexpected pregnancy', 'steamy kiss', 'multiple couples', 'poor male lead', 'ex-convict male lead ']",133,20-May-13,29-Nov-13,"['monday', 'tuesday', 'wednesday', 'thursday', 'friday']",['SBS'],35,8.3,1983,614,1357,15+ - Teens 15 or older,"7,489","['Im Joo Hwan', 'Kang So Ra', 'Kang  Byul', 'Choi  Tae Joon', 'Kim Seol Hyun', 'Shin So Yool']",['SBS VOD'],8.4,52,"Joon-soo is sent to prison for a murder he didn't commit. During his incarceration, Joon-soo is taught how to sew. After his release, Joon-soo is hired by a fashion company. Joon-soo eventually falls in love with a co-worker named Do-hee."
